INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
13465959,Richmond St E,Parliament St,1,1,1,RICHMOND ST E,PARLIAMENT ST,6001,0223,Richmond St E And Parliament St,None,RICHMOND ST E,PARLIAMENT ST,None,None,None,Toronto and East York,Toronto Centre(13),None,None,None,51,None,None,2007-11-09T00:00:00,"{""coordinates"": [[-79.3640229981536, 43.6545590110734]], ""type"": ""MultiPoint""}"
13467993,Lake Shore Blvd W,York St,2,2,2,LAKE SHORE BLVD W,YORK ST,6002,0205,Lake Shore Blvd W And York St,WB LAKE SHORE BLVD,LAKE SHORE BLVD W,YORK ST,None,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,52,None,None,2007-11-09T00:00:00,"{""coordinates"": [[-79.3808680070637, 43.6414600021636]], ""type"": ""MultiPoint""}"
13465757,College St,Bathurst St,20,20,20,COLLEGE ST,BATHURST ST,6022,0300,College St And Bathurst St,None,COLLEGE ST,BATHURST ST,None,None,None,Toronto and East York,University-Rosedale(11),None,None,None,14,None,None,2008-08-11T00:00:00,"{""coordinates"": [[-79.4077219983493, 43.656481004806]], ""type"": ""MultiPoint""}"
13468837,Lake Shore Blvd W,Windermere Ave,35,35,35,LAKE SHORE BLVD W,WINDERMERE AVE,6037,0229,Lake Shore Blvd W And Windermere Ave / Private Access,None,LAKE SHORE BLVD W,WINDERMERE AVE,PRIVATE ACCESS,None,None,Toronto and East York,Parkdale-High Park(4),None,None,None,11,None,None,2008-05-29T00:00:00,"{""coordinates"": [[-79.46814699688, 43.6351890029381]], ""type"": ""MultiPoint""}"
13464191,Lansdowne Ave,Dupont St,38,38,38,LANSDOWNE AVE,DUPONT ST,6040,0844,Lansdowne Ave And Dupont St,None,LANSDOWNE AVE,DUPONT ST,None,None,None,Toronto and East York,Davenport(9),None,None,None,11,None,None,2008-03-26T00:00:00,"{""coordinates"": [[-79.4464609943321, 43.6667250002628]], ""type"": ""MultiPoint""}"
13468197,Queen St W,Lansdowne Ave,39,39,39,QUEEN ST W,LANSDOWNE AVE,6041,1981,Queen St W And Lansdowne Ave / Jameson Ave,None,QUEEN ST W,LANSDOWNE AVE,JAMESON AVE,None,None,Toronto and East York,Parkdale-High Park(4),None,None,None,11,14,None,2009-01-21T00:00:00,"{""coordinates"": [[-79.4369899986827, 43.6405599995531]], ""type"": ""MultiPoint""}"
,None,None,44,44,44,O CONNOR DR,BERMONDSEY RD,6047,0448,O Connor Dr And Bermondsey Rd / Yardley Ave,None,O CONNOR DR,BERMONDSEY RD,YARDLEY AVE,None,None,Toronto and East York,Beaches-East York(19),None,None,None,54,None,None,2008-08-11T00:00:00,"{""coordinates"": [[-79.3074270054452, 43.7124530074629]], ""type"": ""MultiPoint""}"
13462422,Bathurst St,Davenport Rd,47,47,47,BATHURST ST,DAVENPORT RD,6050,0384,Bathurst St And Davenport Rd,None,BATHURST ST,DAVENPORT RD,None,None,None,Toronto and East York,Toronto-St. Paul's(12),None,None,None,13,None,None,2009-03-18T00:00:00,"{""coordinates"": [[-79.415786001934, 43.6767300085459]], ""type"": ""MultiPoint""}"
,None,None,49,49,49,EASTERN AVE,LOWER COXWELL AVE,6053,0301,Eastern Ave And Lower Coxwell Ave,None,EASTERN AVE,LOWER COXWELL AVE,None,None,None,Toronto and East York,Toronto-Danforth(14),Beaches-East York(19),None,None,55,None,None,2009-08-13T00:00:00,"{""coordinates"": [[-79.3162150008697, 43.6654930038606]], ""type"": ""MultiPoint""}"
13464908,Bloor St W,Ossington Ave,55,55,55,BLOOR ST W,OSSINGTON AVE,6061,0341,Bloor St W And Ossington Ave,None,BLOOR ST W,OSSINGTON AVE,None,None,None,Toronto and East York,Davenport(9),University-Rosedale(11),None,None,14,None,None,2011-11-22T00:00:00,"{""coordinates"": [[-79.4256589977268, 43.6619839983533]], ""type"": ""MultiPoint""}"
13461356,Danforth Ave,Greenwood Ave,56,56,56,DANFORTH AVE,GREENWOOD AVE,6062,0348,Danforth Ave And Greenwood Ave,None,DANFORTH AVE,GREENWOOD AVE,None,None,None,Toronto and East York,Toronto-Danforth(14),None,None,None,54,55,None,2010-01-07T00:00:00,"{""coordinates"": [[-79.3323819969191, 43.6814840035033]], ""type"": ""MultiPoint""}"
13463494,Queen St E,Woodbine Ave,57,57,57,QUEEN ST E,WOODBINE AVE,6063,0548,Queen St E And Woodbine Ave,None,QUEEN ST E,WOODBINE AVE,None,None,None,Toronto and East York,Beaches-East York(19),None,None,None,55,None,None,2009-08-06T00:00:00,"{""coordinates"": [[-79.3057750019252, 43.6687570069778]], ""type"": ""MultiPoint""}"
13466630,King St E,Jarvis St,58,58,58,KING ST E,JARVIS ST,6064,0003,King St E And Jarvis St,None,KING ST E,JARVIS ST,None,None,None,Toronto and East York,Toronto Centre(13),None,None,None,51,None,None,2009-08-06T00:00:00,"{""coordinates"": [[-79.3719129962965, 43.6504630011365]], ""type"": ""MultiPoint""}"
13465164,Lake Shore Blvd E,Leslie St,59,59,59,LAKE SHORE BLVD E,LESLIE ST,6065,0206,Lake Shore Blvd E And Leslie St,None,LAKE SHORE BLVD E,LESLIE ST,None,None,None,Toronto and East York,Toronto-Danforth(14),None,None,None,55,None,None,2009-08-06T00:00:00,"{""coordinates"": [[-79.3284359942956, 43.6592350040891]], ""type"": ""MultiPoint""}"
13467011,Lower Jarvis St,The Esplanade,60,60,60,LOWER JARVIS ST,THE ESPLANADE,6066,1392,Lower Jarvis St And The Esplanade,None,LOWER JARVIS ST,THE ESPLANADE,None,None,None,Toronto and East York,Spadina-Fort York(10),Toronto Centre(13),None,None,51,None,None,2009-08-06T00:00:00,"{""coordinates"": [[-79.3709320014031, 43.6482249963251]], ""type"": ""MultiPoint""}"
13465837,Lake Shore Blvd E,Carlaw Ave,61,61,61,LAKE SHORE BLVD E,CARLAW AVE,6067,0207,Lake Shore Blvd E And Carlaw Ave,None,LAKE SHORE BLVD E,CARLAW AVE,None,None,None,Toronto and East York,Toronto-Danforth(14),None,None,None,55,None,None,2009-08-06T00:00:00,"{""coordinates"": [[-79.3374340022338, 43.6549600017234]], ""type"": ""MultiPoint""}"
13465876,Dundas St W,Bloor St W,63,63,63,DUNDAS ST W,BLOOR ST W,6069,0327,Dundas St W And Bloor St W,None,DUNDAS ST W,BLOOR ST W,None,None,None,Toronto and East York,Parkdale-High Park(4),None,None,None,11,None,None,2009-08-11T00:00:00,"{""coordinates"": [[-79.4524529944122, 43.6563210073069]], ""type"": ""MultiPoint""}"
13466730,University Ave,Richmond St W,71,71,71,UNIVERSITY AVE,RICHMOND ST W,6079,0079,University Ave And Richmond St W,None,UNIVERSITY AVE,RICHMOND ST W,None,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,52,None,None,2017-07-24T00:00:00,"{""coordinates"": [[-79.3862910070768, 43.6500869989537]], ""type"": ""MultiPoint""}"
13466117,Adelaide St E,Parliament St,72,72,72,ADELAIDE ST E,PARLIAMENT ST,6080,0214,Adelaide St E And Parliament St,None,ADELAIDE ST E,PARLIAMENT ST,None,None,None,Toronto and East York,Toronto Centre(13),None,None,None,51,None,None,2017-06-05T00:00:00,"{""coordinates"": [[-79.3635979983947, 43.6535639991237]], ""type"": ""MultiPoint""}"
13466931,University Ave,Adelaide St W,73,73,73,UNIVERSITY AVE,ADELAIDE ST W,6081,0078,University Ave And Adelaide St W,None,UNIVERSITY AVE,ADELAIDE ST W,None,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,52,None,None,2017-10-20T00:00:00,"{""coordinates"": [[-79.3855560013834, 43.6488690023181]], ""type"": ""MultiPoint""}"
13466604,University Ave,Queen St W,74,74,74,UNIVERSITY AVE,QUEEN ST W,6083,0080,University Ave And Queen St W,None,UNIVERSITY AVE,QUEEN ST W,None,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,52,None,None,2017-08-31T00:00:00,"{""coordinates"": [[-79.3866280046579, 43.6508519992253]], ""type"": ""MultiPoint""}"
